Net Status Report
Filename     : C:\Users\040602.AMER\Desktop\BD-Z7MB-7Z0X0,G-01-02\Design\Z7MB-7Z0X0-PCB-G.PcbDoc
Date         : 5/2/2018
Time         : 9:47:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    SH_GND1, Signal Layers Only, 1835.151mils
    SH_GND2, Signal Layers Only, 1584.689mils
    SH_GND3, Signal Layers Only, 1056.851mils
    USB_CLK, Signal Layers Only, 1795.28mils
    USB_D0, Signal Layers Only, 1719.761mils
    USB_D1, Signal Layers Only, 1885.561mils
    USB_D2, Signal Layers Only, 1855.416mils
    USB_D3, Signal Layers Only, 1840.796mils
    USB_D4, Signal Layers Only, 1872.115mils
    USB_D5, Signal Layers Only, 1769.878mils
    USB_D6, Signal Layers Only, 1740.926mils
    USB_D7, Signal Layers Only, 1725.672mils
    USB_DIR, Signal Layers Only, 1905.173mils
    USB_NXT, Signal Layers Only, 1232.188mils
    USB_OTG_N, Signal Layers Only, 1579.626mils
    USB_OTG_P, Signal Layers Only, 1589.882mils
    USB_OTG_RST#, Signal Layers Only, 508.403mils
    USB_STP, Signal Layers Only, 1948.393mils
    USB_UART_N, Signal Layers Only, 645.563mils
    USB_UART_P, Signal Layers Only, 645.869mils
    USB_UART_RXD, Signal Layers Only, 2676.344mils
    USB_UART_TXD, Signal Layers Only, 2890.435mils
    USB_VBUS_OTG, Signal Layers Only, 2641.37mils
    USB_VBUS_UART, Signal Layers Only, 4805.22mils
    VCCO_13, Signal Layers Only, 3268.085mils
    VCCO_34, Signal Layers Only, 3094.731mils
    VCCO_35, Signal Layers Only, 3433.663mils
    VCCO_DDR3, Signal Layers Only, 6932.223mils
    VIN, Signal Layers Only, 2546.802mils
    VIN_HDR, Signal Layers Only, 3179.478mils
    VIOUSB, Signal Layers Only, 1732.366mils
    VTTREF, Signal Layers Only, 4456.331mils
count : 423
